network,metric_name,metric_value
2017#10,Total comments without text,20.0
2017#10,Total comments that are replies,52044.0
2017#10,Valid user to user replies,39334.0
2017#10,Unique user to user reply pairs,31635.0
2017#10,Average user reply counts,1.2433696854749485
2017#10,Maximum user reply counts,30.0
2017#10,Median posts per user,1.0
2017#10,Median users per post,1.0
2017#10,Ratio of users commenting on multiple posts,9.830965467178263
2017#10,Ratio of posts with multiple users commenting,2.2226831207438904
2017#10,Total node count,21753.0
2017#10,Total edge count,31230.0
2017#10,Density,0.000132002946518797
2017#10,Assortativity,-0.08600750324017928
2017#10,Community count,346.0
2017#10,Community modularity,0.8458490850150971
2017#10,Average internal vs external edge ratio,1.2891909356157831
2017#10-GCC,Total node count,21076.0
2017#10-GCC,Total edge count,30836.0
2017#10-GCC,Density,0.0001388456440871392
2018#3,Total comment count,48877.0
2018#3,Unique users,21255.0
2018#3,Unique posts with comments,2041.0
2018#3,Total comments without text,18.0
2018#3,Total comments that are replies,48859.0
2018#3,Valid user to user replies,36133.0
2018#3,Unique user to user reply pairs,29122.0
2018#3,Average user reply counts,1.2407458278964356
2018#3,Maximum user reply counts,24.0
2018#3,Median posts per user,1.0
2018#3,Median users per post,1.0
2018#3,Ratio of users commenting on multiple posts,10.051335466111153
2018#3,Ratio of posts with multiple users commenting,2.2654564392530316
2018#3,Total node count,21536.0
2018#3,Total edge count,31616.0
2018#3,Density,0.0001363411647854783
2018#3,Assortativity,-0.11251018865541382
2018#3,Community count,298.0
2018#3,Community modularity,0.8412675647090745
2018#3,Average internal vs external edge ratio,1.267245364632041
2018#3-GCC,Total node count,20966.0
2018#3-GCC,Total edge count,31287.0
2018#3-GCC,Density,0.00014235852174914655
2017#7,Total comment count,46615.0
2017#7,Unique users,20888.0
2017#7,Unique posts with comments,2574.0
2017#7,Total comments without text,15.0
2017#7,Total comments that are replies,46600.0
2017#7,Valid user to user replies,34234.0
2017#7,Unique user to user reply pairs,27686.0
2017#7,Average user reply counts,1.2365094271472947
2017#7,Maximum user reply counts,44.0
2017#7,Median posts per user,1.0
2017#7,Median users per post,1.0
2017#7,Ratio of users commenting on multiple posts,9.481415535277097
2017#7,Ratio of posts with multiple users commenting,2.8711328733585577
2017#7,Total node count,21265.0
2017#7,Total edge count,30698.0
2017#7,Density,0.00013577809989213122
2017#7,Assortativity,-0.08425797685135386
2017#7,Community count,258.0
2017#7,Community modularity,0.8460826966300967
2017#7,Average internal vs external edge ratio,1.4901457209625366
2017#7-GCC,Total node count,20807.0
2017#7-GCC,Total edge count,30436.0
2017#7-GCC,Density,0.00014061106892866308
2017#6,Total comment count,49134.0
2017#6,Unique users,21124.0
2017#6,Unique posts with comments,2505.0
2017#6,Total comments without text,18.0
2017#6,Total comments that are replies,49116.0
2017#6,Valid user to user replies,35686.0
2017#6,Unique user to user reply pairs,28411.0
2017#6,Average user reply counts,1.2560627925803387
2017#6,Maximum user reply counts,31.0
2017#6,Median posts per user,1.0
2017#6,Median users per post,1.0
2017#6,Ratio of users commenting on multiple posts,9.524334656668136
2017#6,Ratio of posts with multiple users commenting,2.5988825172768713
2017#6,Total node count,21224.0
2017#6,Total edge count,31167.0
2017#6,Density,0.00013838562694119287
2017#6,Assortativity,-0.10391704666307786
2017#6,Community count,319.0
2017#6,Community modularity,0.835985420760948
2017#6,Average internal vs external edge ratio,1.3212337515727826
2017#6-GCC,Total node count,20611.0
2017#6-GCC,Total edge count,30816.0
2017#6-GCC,Density,0.00014508723560722122
2018#2,Total comment count,45679.0
2018#2,Unique users,20539.0
2018#2,Unique posts with comments,1806.0
2018#2,Total comments without text,12.0
2018#2,Total comments that are replies,45667.0
2018#2,Valid user to user replies,34607.0
2018#2,Unique user to user reply pairs,27597.0
2018#2,Average user reply counts,1.25401311736783
2018#2,Maximum user reply counts,54.0
2018#2,Median posts per user,1.0
2018#2,Median users per post,1.0
2018#2,Ratio of users commenting on multiple posts,10.005808325266216
2018#2,Ratio of posts with multiple users commenting,2.3078412391093903
2018#2,Total node count,20806.0
2018#2,Total edge count,30018.0
2018#2,Density,0.00013869328498427572
2018#2,Assortativity,-0.09827420272566549
2018#2,Community count,243.0
2018#2,Community modularity,0.8415124063391758
2018#2,Average internal vs external edge ratio,1.3475005937418756
2018#2-GCC,Total node count,20386.0
2018#2-GCC,Total edge count,29779.0
2018#2-GCC,Density,0.00014331688815476221
2017#4,Total comment count,45597.0
2017#4,Unique users,20229.0
2017#4,Unique posts with comments,2974.0
2017#4,Total comments without text,13.0
2017#4,Total comments that are replies,45584.0
2017#4,Valid user to user replies,32694.0
2017#4,Unique user to user reply pairs,26199.0
2017#4,Average user reply counts,1.247910225581129
2017#4,Maximum user reply counts,28.0
2017#4,Median posts per user,1.0
2017#4,Median users per post,1.0
2017#4,Ratio of users commenting on multiple posts,9.008324147630088
2017#4,Ratio of posts with multiple users commenting,2.691094302330001
2017#4,Total node count,20517.0
2017#4,Total edge count,28999.0
2017#4,Density,0.00013778643663938772
2017#4,Assortativity,-0.1066153917641216
2017#4,Community count,315.0
2017#4,Community modularity,0.850469860917371
2017#4,Average internal vs external edge ratio,1.3735550351066714
2017#4-GCC,Total node count,19884.0
2017#4-GCC,Total edge count,28628.0
2017#4-GCC,Density,0.00014482226557447167
2017#9,Total comment count,43257.0
2017#9,Unique users,20196.0
2017#9,Unique posts with comments,2457.0
2017#9,Total comments without text,14.0
2017#9,Total comments that are replies,43243.0
2017#9,Valid user to user replies,30843.0
2017#9,Unique user to user reply pairs,25548.0
2017#9,Average user reply counts,1.2072569281352747
2017#9,Maximum user reply counts,19.0
2017#9,Median posts per user,1.0
2017#9,Median users per post,1.0
2017#9,Ratio of users commenting on multiple posts,9.529660203493952
2017#9,Ratio of posts with multiple users commenting,2.5839892493760797
2017#9,Total node count,20334.0
2017#9,Total edge count,28570.0
2017#9,Density,0.0001382025181195377
2017#9,Assortativity,-0.10953461760065018
2017#9,Community count,324.0
2017#9,Community modularity,0.8505511511355283
2017#9,Average internal vs external edge ratio,1.3378884628464427
2017#9-GCC,Total node count,19687.0
2017#9-GCC,Total edge count,28183.0
2017#9-GCC,Density,0.0001454387704195675
2018#1,Total comment count,47533.0
2018#1,Unique users,20290.0
2018#1,Unique posts with comments,2067.0
2018#1,Total comments without text,20.0
2018#1,Total comments that are replies,47513.0
2018#1,Valid user to user replies,36064.0
2018#1,Unique user to user reply pairs,28760.0
2018#1,Average user reply counts,1.2539638386648122
2018#1,Maximum user reply counts,27.0
2018#1,Median posts per user,1.0
2018#1,Median users per post,1.0
2018#1,Ratio of users commenting on multiple posts,9.755531486925577
