network,metric_name,metric_value
2016#4,Average internal vs external edge ratio,1.2152855644682714
2016#4-GCC,Total node count,12961.0
2016#4-GCC,Total edge count,18982.0
2016#4-GCC,Density,0.0002260104149104
2016#4-GCC,Diameter,17.0
2016#4-GCC,Average shortest path,6.002729889573755
2016#4-GCC,Assortativity,-0.0628503739141581
2015#10,Total node count,13012.0
2015#10,Total edge count,18537.0
2015#10,Density,0.0002189851747143
2015#10,Assortativity,-0.080383681775726
2015#10,Community count,269.0
2015#10,Community modularity,0.8328533005060664
2015#10,Average internal vs external edge ratio,1.3620197061252886
2015#10-GCC,Total node count,12503.0
2015#10-GCC,Total edge count,18232.0
2015#10-GCC,Density,0.0002332762805299
2015#10-GCC,Diameter,16.0
2015#10-GCC,Average shortest path,5.734927978187491
2015#10-GCC,Assortativity,-0.0820261808032475
2015#4,Total node count,10871.0
2015#4,Total edge count,14640.0
2015#4,Density,0.0002477832999641
2015#4,Assortativity,-0.0987382940139439
2015#4,Community count,297.0
2015#4,Community modularity,0.8423980306086166
2015#4,Average internal vs external edge ratio,1.3180882169953294
2015#4-GCC,Total node count,10289.0
2015#4-GCC,Total edge count,14294.0
2015#4-GCC,Density,0.0002700720559954
2015#4-GCC,Diameter,17.0
2015#4-GCC,Average shortest path,5.827157436250978
2015#4-GCC,Assortativity,-0.1018465723366015
2016#11,Total node count,26030.0
2016#11,Total edge count,36569.0
2016#11,Density,0.000107947211632
2016#11,Assortativity,-0.0679319151816973
2016#11,Community count,492.0
2016#11,Community modularity,0.8347059119987473
2016#11,Average internal vs external edge ratio,1.2159727099293716
2016#11-GCC,Total node count,24980.0
2016#11-GCC,Total edge count,35947.0
2016#11-GCC,Density,0.0001152192821954
2016#11-GCC,Diameter,17.0
2016#11-GCC,Average shortest path,6.030078675214482
2016#11-GCC,Assortativity,-0.0692287011095637
2017#5,Total node count,24940.0
2017#5,Total edge count,39896.0
2017#5,Density,0.0001282873595695
2017#5,Assortativity,-0.1028424614218691
2017#5,Community count,339.0
2017#5,Community modularity,0.8018587735458229
2017#5,Average internal vs external edge ratio,1.2337324231980056
2017#5-GCC,Total node count,24271.0
2017#5-GCC,Total edge count,39504.0
2017#5-GCC,Density,0.0001341262003482
2017#5-GCC,Diameter,16.0
2017#5-GCC,Average shortest path,5.601793774957361
2017#5-GCC,Assortativity,-0.1042265740666408
2017#12,Total node count,23525.0
2017#12,Total edge count,35194.0
2017#12,Density,0.0001271914219335
2017#12,Assortativity,-0.0868243149632344
2017#12,Community count,380.0
2017#12,Community modularity,0.8374134890789324
2017#12,Average internal vs external edge ratio,1.2289965694754674
2017#12-GCC,Total node count,22759.0
2017#12-GCC,Total edge count,34749.0
2017#12-GCC,Density,0.0001341791504459
2017#12-GCC,Diameter,20.0
2017#12-GCC,Average shortest path,5.831999996323964
2017#12-GCC,Assortativity,-0.0882392619046679
2017#3,Total node count,23304.0
2017#3,Total edge count,34608.0
2017#3,Density,0.0001274571464015
2017#3,Assortativity,-0.0716044440121277
2017#3,Community count,383.0
2017#3,Community modularity,0.8335764629587792
2017#3,Average internal vs external edge ratio,1.226123450592144
2017#3-GCC,Total node count,22505.0
2017#3-GCC,Total edge count,34136.0
2017#3-GCC,Density,0.0001348043445415
2017#3-GCC,Diameter,17.0
2017#3-GCC,Average shortest path,5.808544895778187
2017#3-GCC,Assortativity,-0.0727447165658371
2017#11,Total node count,22187.0
2017#11,Total edge count,31427.0
2017#11,Density,0.0001276895419851
2017#11,Assortativity,-0.1060299289757873
2017#11,Community count,332.0
2017#11,Community modularity,0.8464028314170223
2017#11,Average internal vs external edge ratio,1.3338329661895645
2017#11-GCC,Total node count,21524.0
2017#11-GCC,Total edge count,31029.0
2017#11-GCC,Density,0.0001339590274901
2017#11-GCC,Diameter,18.0
2017#11-GCC,Average shortest path,5.999486358719403
2017#11-GCC,Assortativity,-0.1077417096566585
2016#12,Total node count,22379.0
2016#12,Total edge count,31880.0
2016#12,Density,0.0001273169900038
2016#12,Assortativity,-0.074579200269675
2016#12,Community count,451.0
2016#12,Community modularity,0.850566392568322
2016#12,Average internal vs external edge ratio,1.2084505983267322
2016#12-GCC,Total node count,21437.0
2016#12-GCC,Total edge count,31330.0
2016#12-GCC,Density,0.0001363586315749
2016#12-GCC,Diameter,21.0
2016#12-GCC,Average shortest path,5.989464221823574
2016#12-GCC,Assortativity,-0.0761667010712469
2017#1,Total comment count,54656.0
2017#1,Unique users,22027.0
2017#1,Unique posts with comments,3701.0
2017#1,Total comments without text,8.0
2017#1,Total comments that are replies,54648.0
2017#1,Valid user to user replies,38875.0
2017#1,Unique user to user reply pairs,30458.0
2017#1,Average user reply counts,1.2763477575677982
2017#1,Maximum user reply counts,27.0
2017#1,Median posts per user,1.0
2017#1,Median users per post,1.0
2017#1,Ratio of users commenting on multiple posts,10.241992167888343
2017#1,Ratio of posts with multiple users commenting,3.266726913679419
2017#10,Total comment count,52064.0
2017#10,Unique users,22774.0
2017#10,Unique posts with comments,2313.0
2017#10,Total comments without text,20.0
2017#10,Total comments that are replies,52044.0
2017#10,Valid user to user replies,39334.0
2017#10,Unique user to user reply pairs,31635.0
2017#10,Average user reply counts,1.2433696854749485
2017#10,Maximum user reply counts,30.0
2017#10,Median posts per user,1.0
2017#10,Median users per post,1.0
2017#10,Ratio of users commenting on multiple posts,9.830965467178263
2017#10,Ratio of posts with multiple users commenting,2.2226831207438904
2017#7,Total comment count,46615.0
2017#7,Unique users,20888.0
2017#7,Unique posts with comments,2574.0
2017#7,Total comments without text,15.0
2017#7,Total comments that are replies,46600.0
2017#7,Valid user to user replies,34234.0
2017#7,Unique user to user reply pairs,27686.0
2017#7,Average user reply counts,1.2365094271472947
2017#7,Maximum user reply counts,44.0
2017#7,Median posts per user,1.0
2017#7,Median users per post,1.0
2017#7,Ratio of users commenting on multiple posts,9.481415535277097
2017#7,Ratio of posts with multiple users commenting,2.8711328733585577
2017#4,Total comment count,45597.0
2017#4,Unique users,20229.0
2017#4,Unique posts with comments,2974.0
2017#4,Total comments without text,13.0
2017#4,Total comments that are replies,45584.0
2017#4,Valid user to user replies,32694.0
2017#4,Unique user to user reply pairs,26199.0
2017#4,Average user reply counts,1.247910225581129
2017#4,Maximum user reply counts,28.0
2017#4,Median posts per user,1.0
2017#4,Median users per post,1.0
2017#4,Ratio of users commenting on multiple posts,9.008324147630088
2017#4,Ratio of posts with multiple users commenting,2.691094302330001
2018#1,Total comment count,47533.0
2018#1,Unique users,20290.0
2018#1,Unique posts with comments,2067.0
2018#1,Total comments without text,20.0
2018#1,Total comments that are replies,47513.0
2018#1,Valid user to user replies,36064.0
2018#1,Unique user to user reply pairs,28760.0
2018#1,Average user reply counts,1.2539638386648122
2018#1,Maximum user reply counts,27.0
2018#1,Median posts per user,1.0
2018#1,Median users per post,1.0
2018#1,Ratio of users commenting on multiple posts,9.755531486925577
2018#1,Ratio of posts with multiple users commenting,2.355717159213987
2016#10,Total comment count,40628.0
2016#10,Unique users,17583.0
2016#10,Unique posts with comments,3233.0
2016#10,Total comments without text,6.0
2016#10,Total comments that are replies,40622.0
2016#10,Valid user to user replies,27866.0
2016#10,Unique user to user reply pairs,22659.0
2016#10,Average user reply counts,1.2297983141356634
2016#10,Maximum user reply counts,32.0
2016#10,Median posts per user,1.0
2016#10,Median users per post,1.0
2016#10,Ratio of users commenting on multiple posts,9.581140812460534
2016#10,Ratio of posts with multiple users commenting,3.3803409808461375
2018#7,Total comment count,40965.0
2018#7,Unique users,17578.0
2018#7,Unique posts with comments,1761.0
2018#7,Total comments without text,19.0
2018#7,Total comments that are replies,40946.0
2018#7,Valid user to user replies,30325.0
2018#7,Unique user to user reply pairs,23528.0
2018#7,Average user reply counts,1.2888898333900034
2018#7,Maximum user reply counts,31.0
